[50, 2f, 4, 1]
[50, 2e, 3, 1]
[50, 33, 4, 1]
[52, 38, 3, 1]
[54, 39, 5, 1]
[56, 39, a, 1]
[5b, 39, c, 1]
[5f, 42, 8, 1]
[62, 46, e, 1]
[65, 4b, 16, 1]
[68, 53, 14, 1]
[6b, 53, 14, 1]
[70, 54, 23, 1]
[71, 5a, 31, 1]
[73, 5c, 2c, 1]
[73, 5e, 2a, 1]
[72, 5c, 2b, 1]
[6e, 56, 24, 1]
[6c, 54, 1f, 1]
[6c, 54, 1e, 1]
[6a, 52, 23, 1]
[67, 4f, 19, 1]
[64, 4a, 12, 1]
[5c, 40, 11, 1]
[59, 3b, 11, 1]
[54, 39, b, 1]
[54, 38, 5, 1]
[51, 32, 4, 1]
[42, 2c, 4, 1]
[3f, 27, 3, 1]
[3d, 27, 4, 1]
[39, 27, 1, 1]
[35, 25, 1, 1]
[32, 23, 5, 1]
[34, 21, 2, 1]
[35, 23, 2, 1]
[38, 23, 2, 1]
[35, 23, 0, 1]
[31, 23, 1, 1]
[30, 23, 1, 1]
[30, 20, 0, 1]
[30, 24, 0, 1]
[30, 23, 1, 1]
[35, 20, 0, 1]
[3b, 24, 0, 1]
[3e, 27, 0, 1]
[3f, 28, 1, 1]
[49, 2c, 3, 1]
[52, 32, 4, 1]
[58, 3d, 8, 1]
[5c, 45, 8, 1]
[5e, 4b, 4, 1]
[61, 54, 17, 1]
[62, 55, 1d, 1]
[65, 56, 18, 1]
[65, 58, 1c, 1]
[67, 58, 16, 1]
[64, 5c, 18, 1]
[69, 5b, 1f, 1]
[71, 5c, 16, 1]
[74, 60, 12, 1]
[77, 5f, b, 1]
[7b, 60, 15, 1]
[7e, 61, 11, 1]
[80, 60, 16, 1]
[84, 62, 13, 1]
[85, 63, a, 1]
[86, 5f, c, 1]
[85, 5d, d, 1]
[87, 5f, 11, 1]
[8a, 62, 11, 1]
[84, 5d, 14, 1]
[73, 50, 7, 1]
[53, 3a, 4, 1]
[30, 20, 0, 1]
[12, c, 0, 1]
[4, 3, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[1, 0, 0, 1]
[4, 2, 0, 1]
[a, 6, 0, 1]
[16, 10, 0, 1]
[25, 1a, 0, 1]
[39, 28, 0, 1]
[45, 33, 2, 1]
[3c, 2d, 3, 1]
[23, 18, 1, 1]
[d, 8, 0, 1]
[1, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[2, 1, 0, 1]
[3, 2, 0, 1]
[2, 1, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[1, 0, 0, 1]
[3, 2, 0, 1]
[8, 6, 1, 1]
[15, 10, 3, 1]
[29, 1e, 3, 1]
[3f, 2e, 5, 1]
[39, 29, 7, 1]
[1e, 17, 0, 1]
[a, 7, 0, 1]
[1, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[6, 4, 0, 1]
[10, c, 0, 1]
[21, 18, 0, 1]
[31, 28, 0, 1]
[32, 29, 0, 1]
[26, 1c, 0, 1]
[15, 11, 0, 1]
[9, 7, 0, 1]
[2, 1, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
